Time stamp,X-coordinate,Y-coordinate,Button status,Azimuth,Altitude,Pressure,x_dot,y_dot,pressure_dot,altitude_dot,azimuth_dot,path_tan_angle,path_velocity,log_curve,total_accelaration,path_tan_angle_dot,path_velocity_dot,log_curve_dot,total_accelaration_dot,x_dot_dot,y_dot_dot,min_max_v,angle_of_two,angle_of_two_dot,angle_of_two_sin,angle_of_two_cos,five_window,seven_window
59568034,958,2702,0,1520,480,342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59568044,1012,2726,1,1510,480,436,5.4,2.4,9.4,0.0,-1.0,0.418224329579229,5.909314681077663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.323064942458334,1.323064942458334
59568054,1012,2744,1,1490,490,447,0.0,1.8,1.1,1.0,-2.0,1.5707963267948966,1.8,2.748375793489571,0.4603320008919793,0.1152571997215667,-0.4109314681077663,0.0,0.0,-0.54,-0.0599999999999999,0.0,0.1106572211738956,0.0,0.1104315260748465,0.9938837346736188,3.462214450449026,7.212214450449026
59568064,1004,2744,1,1480,500,463,-0.8,0.0,1.6,1.0,-1.0,-0.0,0.8,1.6278588363903812,0.1605969085684496,-0.1570796326794896,-0.1,-0.1120516957099189,-0.0299735092323529,-0.08,-0.18,0.0,1.1525719972156676,0.1041914776041772,0.9138115486202572,0.4061384660534475,1.0,6.374999999999999
59568074,1004,2744,1,1480,500,485,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,0.0,0.0,0.08,0.0,0.0,0.0,-0.1152571997215667,0.0,1.0,inf,9.49810562561766
59568084,1004,2744,1,1460,500,512,0.0,0.0,2.7,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,14.124794506448096
59568094,1004,2744,1,1450,510,516,0.0,0.0,0.4,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.49810562561766,17.127397543814176
59568104,1004,2744,1,1440,510,553,0.0,0.0,3.7,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.124794506448096,19.857438752294367
59568114,1004,2714,1,1440,510,609,0.0,-3.0,5.6,0.0,0.0,-1.5707963267948966,3.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,-0.3,0.2203738753538739,-1.5707963267948966,0.0,-1.0,6.123233995736766e-17,13.377397543814174,17.732438752294367
59568124,1004,2671,1,1420,520,656,0.0,-4.3,4.7,1.0,-2.0,-1.5707963267948966,4.3,inf,0.1299999999999999,0.0,0.1299999999999999,0.0,0.0,0.0,-0.1299999999999999,0.2738853503184713,-1.5707963267948966,0.0,-1.0,6.123233995736766e-17,14.482438752294367,17.182729410674693
